HIP;HD;Fl;Bayer;Bayer_cst;Cst;Vmag;VarFlag;VarID;RAdeg;DEdeg;Plx;pmRA;pmDE;B-V;V-I;Period;HvarType;Ncomp;MultFlag;m_HIP;SpType;Teff;Name;Name_r
25;224750;;;;Phe;6,28;;;0,07936537;-44,29029741;13,74;58,36;-108,64;0,763;0,80;;D;2;C;AB;G3IV;5217;;
34;224758;;;;Peg;6,43;;;0,09946973;+26,91823821;12,71;42,20;-53,47;0,514;0,59;;;1;;;F7.5IV-V;6345;;
43;224784;;;;Cas;6,18;;;0,12908900;+59,55973786;7,63;-80,60;-24,07;1,032;1,00;;C;1;;;G9III-IV;;;
50;224782;;;;Phe;6,49;;;0,14287059;-53,09766277;16,89;52,98;-20,52;0,616;0,68;;D;2;C;AB;G1IV;6279;;
63;224801;;CG;And;And;6,36;1;CGAnd;0,18174950;+45,25333305;4,81;17,38;0,22;-0,047;-,03;3,74;P;1;;;B9pSiEu;11721;;
88;224834;;tau;Phe;Phe;5,71;;;0,26915958;-48,80985919;5,97;-17,92;-6,75;0,911;0,91;;C;1;;;G8III;;;
106;224870;;;;Cas;6,22;;;0,33016464;+49,98158501;4,50;13,29;-11,19;0,970;0,95;;C;1;;;G7II-III;5034;;
107;224865;;;;Phe;5,53;1;;0,33380226;-50,33739907;5,84;7,34;10,59;1,615;1,88;;U;1;;;M2III;;;
122;224889;;the;Oct;Oct;4,78;;;0,39937928;-77,06529438;14,77;-56,52;-176,95;1,254;1,26;;;1;;;K2III;;;
124;224893;;;;Cas;5,58;;;0,40424537;+61,22280406;0,86;-2,80;-1,34;0,407;0,47;;C;1;;;F0III;;;
128;224890;;;;Cep;6,50;;;0,41376473;+73,61187664;15,20;75,54;-12,36;0,182;0,20;;C;1;;;Am...;;;
137;224906;;;;And;6,25;;;0,43268925;+42,36714821;2,45;5,11;-1,77;-0,042;-,02;;;1;;;B9IIIpMn;12606;;
145;224926;29;;Psc;Psc;5,13;;;0,45598912;-03,02747891;7,98;18,90;-10,25;-0,128;-,12;;;1;;;B7III-IV;15273;;
154;224935;30;;Psc;Psc;4,37;2;YYPsc;0,48996506;-06,01397169;7,86;46,62;-41,32;1,631;2,35;;U;1;;;M3III;3647;;
171;224930;85;;Peg;Peg;5,80;;;0,54018776;+27,08448905;80,63;778,59;-918,72;0,690;0,82;;D;1;X;;G3V;5366;;
183;224990;;zet;Scl;Scl;5,04;;;0,58297574;-29,72044805;6,40;9,66;14,00;-0,150;-,14;;;1;;;B4V;16100;;
186;224995;31;;Psc;Psc;6,33;;;0,60069792;+08,95683360;7,55;-0,87;-4,11;0,182;0,20;;C;1;;;A6V;7731;;
194;225003;32;c;Psc;Psc;5,70;;;0,62398938;+08,48557854;26,53;-93,55;-47,50;0,315;0,36;;C;1;;;F0V;7072;;
207;225009;;;;Cas;5,87;;;0,65034249;+66,09896341;1,57;3,32;1,14;1,073;1,04;;D;1;C;;G8III;;;
238;225045;;;;Cet;6,25;;;0,73927410;-20,04607402;16,16;100,38;78,95;0,526;0,60;;;1;;;F6/F7V;6179;;
253;225069;;;;Cet;6,46;;;0,78257245;-24,14513788;6,78;59,32;-3,14;1,176;1,14;;C;1;;;K1III;;;
274;225094;;;;Cas;6,24;2;V639Cas;0,85715406;+63,64052431;0,93;-3,27;-1,83;0,332;0,43;;U;2;C;BA;B3Ia;20450;;
301;225132;2;;Cet;Cet;4,55;;;0,93488487;-17,33597002;14,31;28,57;-7,28;-0,047;-,03;;C;1;;;B9IVn;10061;;
302;225136;;;;Cep;6,31;2;V398Cep;0,96511407;+66,71220273;3,31;7,86;-8,15;1,629;2,28;;U;1;;;M4;;;
330;225180;9;;Cas;Cas;5,90;;;1,05693212;+62,28766460;0,89;-0,99;-0,37;0,274;0,31;;C;1;;;A1III;;;
343;225197;;;;Cet;5,78;;;1,08233885;-16,52888969;11,29;53,77;-60,27;1,084;1,05;;;1;;;K0III;4752;;
345;225200;;;;Scl;6,38;;;1,08457463;-29,26883006;7,75;29,15;3,44;0,006;0,03;;;1;;;A1V;9772;;
355;225212;3;;Cet;Cet;4,99;1;;1,12550980;-10,50949443;2,03;-6,49;-11,88;1,619;1,64;;M;1;;;K3Ibvar;4046;;
365;225218;;;;And;6,11;;;1,15248379;+42,09256148;1,94;-11,94;-12,73;0,159;0,18;;D;2;C;AB;B9III;;;
377;225253;;;;Tuc;5,59;;;1,17188841;-71,43685835;5,70;30,00;-13,62;-0,100;-,08;;;1;;;B8III;12677;;
379;225216;;;;Cep;5,68;;;1,17432297;+67,16638761;10,30;95,58;23,80;1,051;1,02;;C;1;;;K1III;4747;;
394;225239;;;;And;6,09;;;1,22172791;+34,65955259;27,18;769,11;100,49;0,632;0,73;;C;1;X;;G2V;5603;;
399;225276;;;;Peg;6,25;1;;1,23302998;+26,64879958;5,34;112,32;-14,52;1,368;1,34;;M;1;;;K4IIIb;;;
410;225292;;;;Peg;6,47;;;1,25472644;+27,67479979;7,63;83,36;-6,57;0,946;0,94;;C;1;;;G8II;4937;;
417;6;;;;Psc;6,32;;;1,26581912;-00,50290553;6,95;44,86;-53,47;1,099;0,91;;;1;;;G9III:;4639;;
