HIP,Name_r,Name,Bayer
677,Альферац,Alpheratz,α And A
746,Каф,Caph,β Cas A
1067,Альгениб,Algenib,γ Peg
1562,Денеб аль Шемали,Daneb al Shemali,ι Cet
2081,Анкаа,Ankaa,α Phe
2920,Фулу,Fulu,ζ Cas
3179,Шедар,Schedar,α Cas
3419,Дифда,Diphda,β Cet
3821,Ахирд,Achird,η Cas A
3829,Звезда Ван Маанена,Van Maanen's star,Psc
4422,Кастула,Castula,υ2 Cas
4427,Нави,Navi,γ Cas
5336,Марфак II,Marfak II,μ Cas
5348,Вуррен,Wurren,ζ Phe A
5364,Денеб Альгенуби,Deneb Algenubi,η Cet
5447,Мирах,Mirach,β And
5542,Марфик,Marfik,θ Cas
5737,Ревати,Revati,ζ Psc A
6411,Адхил,Adhil,ξ And
6537,Мира,Mira,θ Cet
6686,Рукба,Ruchbah,δ Cas A
7097,Альфарг,Alpherg,η Psc A
7513,Титавин,Titawin,υ And A
7588,Ахернар,Achernar,α Eri
7607,Нембус,Nembus,51 And
8198,Торкулар,Torcular,ο Psc A
8645,Батен Каитос,Baten Kaitos,ζ Cet A
8796,Моталлах,Mothallah,α Tri
8832,Месартхим,Mesarthim,γ2 Ari A
8886,Сегин,Segin,ε Cas
8903,Шератан,Sheratan,β Ari A
9236,Голова Гидры,Hydra's head,α Hyi
9487,Альриша,Alrescha,α Psc A
9640,Аламак,Almach,γ1 And A
9884,Хамаль,Hamal,α Ari
10826,Мира,Mira,ο Cet A
11767,Полярная,Polaris,α UMi A
12706,Каффальджидхма,Kaffaljidhma,γ Cet A
13061,Северная Лилия,Lilii Borea,39 Ari
13209,Bharani,Bharani,41 Ari A
13268,Мирам,Miram,η Per A
13288,Ангетенар,Angetenar,τ2 Eri
13701,Азха,Azha,η Eri
13847,Акамар,Acamar,θ1 Eri A
13879,Горгонея Секунда,Gorgonea Second,π Per
14135,Менкар,Menkar,α Cet
14354,Горгонея Терция,Gorgonea Tercius,ρ Per
14576,Алголь,Algol,β Per A
14668,Мисам,Misam,κ Per A
14817,Горгонея Кватра,Gorgonea Quart,ω Per
14838,Ботейн,Botein,δ Ari
14879,Далим,Dalim,α For A
15197,Зибаль,Zibal,ζ Eri A
15863,Мирфак,Mirfak,α Per
16537,Ран,Ran,ε Eri
17378,Рана,Rana,δ Eri
17448,Атик,Atik,ο Per A
17489,Целено,Celaeno,16 Tau
17499,Электра,Electra,17 Tau
17531,Тайгета,Taygeta,19 Tau A
17573,Майя,Maia,20 Tau
17579,Астеропа,Asterope,21 Tau A
17588,Стеропа,Steropa,22 Tau
17608,Меропа,Merope,23 Tau A
17702,Альциона,Alcyone,η Tau A
17847,Атлас,Atlas,27 Tau A
17851,Плейона,Pleione,28 Tau A
18246,Менкхиб,Menkhib,ζ Per
18543,Заурак,Zaurak,γ Eri
18614,Менкиб,Menkib,ξ Per
19587,Бейд,Beid,ο1 Eri
19849,Кейд,Keid,ο2 Eri A
20205,Прима Хиадум,Prima Hyadum,γ Tau A
20455,Секунда Хиадум,Secunda Hyadum,δ1 Tau A
20535,Беемим,Beemim,υ3 Eri
20889,Аин,Ain,ε Tau A
20894,Chamukuy,Chamukuy,θ2 Tau A
21393,Тееним,Theemin,υ2 Eri
21421,Альдебаран,Aldebaran,α Tau
21594,Лесник,Lesnik,53 Eri A
22449,Табит,Tabit,π3 Ori
23015,Хассалех,Hassaleh,ι Aur
23416,Альмааз,Almaaz,ε Aur
23453,Саклатени,Saclateni,ζ Aur A
23767,Хедус,Haedus,η Aur
23875,Курса,Cursa,β Eri
24186,Звезда Каптейна,Kapteyn's star,Pic
24436,Ригель,Rigel,β Ori A
24575,Пылающая,Blazing,AE Aur
24608,Капелла,Capella,α Aur A
25336,Беллатрикс,Bellatrix,γ Ori
25428,Эльнат,Elnath,β Tau A
25606,Нихаль,Nihal,β Lep A
25923,Тхабит,Thabit,υ Ori
25930,Минтака,Mintaka,δ Ori A
25985,Арнеб,Arneb,α Lep A
26207,Мейсса,Meissa,λ Ori A
26241,Хатиса,Hatysa,ι Ori A
26311,Альнилам,Alnilam,ε Ori
26451,Тяньгуань,Tianguan,ζ Tau A
26634,Факт,Phact,α Col
26727,Альнитак,Alnitak,ζ Ori A
27366,Саиф,Saiph,κ Ori
27628,Вазн,Wazn,β Col
27810,Цзе,Cze,λ Col
27989,Бетельгейзе,Betelgeuse,α Ori A
28358,Прайя-пати,Prayia-pati,δ Aur
28360,Менкалинан,Menkalinan,β Aur A
28380,Махасим,Mahasim,θ Aur A
29034,Элькуруд,Elkurud,θ Col
29655,Пропус,Propus,η Gem A
30122,Фуруд,Furud,ζ CMa A
30324,Мирзам,Mirzam,β CMa
30343,Теят,Tejat,μ Gem A
30438,Канопус,Canopus,α Car A
31681,Альхена,Alhena,γ Gem A
32246,Мебсута,Mebsuta,ε Gem
32349,Сириус,Sirius,α CMa A
32362,Альзирр,Alzirr,ξ Gem
33345,Исида,Isida,μ CMa
33579,Адара,Adhara,ε CMa A
33856,Унургуните,Unurgunite,σ CMa
34045,Мулифен,Muliphein,γ CMa
34088,Мекбуда,Mekbuda,ζ Gem A
34444,Везен,Wezen,δ CMa A
35550,Васат,Wasat,δ Gem A
35904,Алудра,Aludra,η CMa
36046,Пропус,Propus,ι Gem
36188,Гомейса,Gomeisa,β CMi A
36850,Кастор,Castor,α Gem A
37265,Цзишуй,Jishui,ο Gem
37279,Процион,Procyon,α CMi A
37826,Поллукс,Pollux,β Gem
39429,Наос,Naos,ζ Pup
38170,Асмидиске,Azmidi,ξ Pup
39757,Турейс,Tureis,ρ Pup A
40167,Тегмен,Tegmine,ζ1 Cnc A
40526,Тарф,Tarf,β Cnc A
40881,Пиаутос,Piautos,λ Cnc
41037,Авиор,Avior,ε Car A
41075,Альциаукат,Alsciaukat,31 Lyn
41704,Мускида,Muscida,ο UMa A
42402,Минхир,Minchir,σ Hya
42527,Мусцида,Muscida,π² UMa
42556,Мелеф,Meleph,ε Cnc A
44946,Нан,Nahn,ξ Cnc A
42806,Азеллюс Бореалис,Asellus Borealis,γ Cnc A
42911,Азеллюс Австралис,Asellus Australis,δ Cnc A
42913,Альсефина,Alsephina,δ Vel A
